,Q_in,Q_out,T_int,T_ext
,W/m2,W/m2,Deg C,Deg C
,Avg,Avg,Avg,Avg
2014-10-05 16:30:00,10.994,6.84,16.92,14.68
2014-10-05 16:35:00,10.952,6.012,16.92,14.69
2014-10-05 16:40:00,10.882,7.04,16.93,14.66
2014-10-05 16:45:00,10.798,8.88,16.93,14.59
2014-10-05 16:50:00,10.756,10.491,16.94,14.5
2014-10-05 16:55:00,10.924,11.058,16.93,14.43
2014-10-05 17:00:00,10.728,12.025,16.93,14.33
2014-10-05 17:05:00,10.616,12.224,16.94,14.28
2014-10-05 17:10:00,10.616,13.497,16.94,14.2
2014-10-05 17:15:00,10.518,15.046,16.95,14.09
2014-10-05 17:20:00,10.392,16.472,16.96,13.96
2014-10-05 17:25:00,10.35,16.564,16.96,13.89
2014-10-05 17:30:00,10.322,16.917,16.95,13.79
2014-10-05 17:35:00,10.196,16.089,16.96,13.77
2014-10-05 17:40:00,10.098,16.196,16.95,13.7
2014-10-05 17:45:00,10.014,16.396,16.95,13.64
2014-10-05 17:50:00,9.972,17.055,16.96,13.58
2014-10-05 17:55:00,9.958,17.04,16.96,13.5
2014-10-05 18:00:00,9.888,17.423,16.96,13.44
2014-10-05 18:05:00,9.846,17.04,16.95,13.39
2014-10-05 18:10:00,9.776,16.917,16.96,13.38
2014-10-05 18:15:00,9.65,17.577,16.97,13.32
2014-10-05 18:20:00,9.734,16.104,16.98,13.37
2014-10-05 18:25:00,9.776,17.347,16.98,13.28
2014-10-05 18:30:00,9.65,15.153,16.98,13.29
2014-10-05 18:35:00,9.482,14.985,16.98,13.33
2014-10-05 18:40:00,9.538,15.752,16.97,13.24
2014-10-05 18:45:00,9.44,14.923,16.98,13.25
2014-10-05 18:50:00,9.426,14.908,16.99,13.24
2014-10-05 18:55:00,9.356,15.598,16.99,13.19
2014-10-05 19:00:00,9.062,15.997,16.97,13.12
2014-10-05 19:05:00,9.02,15.537,16.98,13.11
2014-10-05 19:10:00,8.978,15.552,16.96,13.07
2014-10-05 19:15:00,9.02,14.969,16.97,13.06
2014-10-05 19:20:00,8.908,14.294,16.98,13.06
2014-10-05 19:25:00,8.922,14.371,16.99,13.07
2014-10-05 19:30:00,8.796,14.678,16.98,13.04
2014-10-05 19:35:00,8.697,15.199,16.98,13
2014-10-05 19:40:00,8.599,15.936,16.97,12.95
2014-10-05 19:45:00,8.585,15.859,16.97,12.91
2014-10-05 19:50:00,8.599,16.273,16.97,12.88
2014-10-05 19:55:00,8.515,16.595,16.98,12.84
2014-10-05 20:00:00,8.459,17.485,16.97,12.77
2014-10-05 20:05:00,8.403,18.957,16.97,12.73
2014-10-05 20:10:00,8.375,20.046,16.96,12.64
2014-10-05 20:15:00,8.333,21.288,16.96,12.57
2014-10-05 20:20:00,8.291,20.537,16.97,12.52
2014-10-05 20:25:00,8.179,20.506,16.98,12.47
2014-10-05 20:30:00,8.151,20.736,16.96,12.42
2014-10-05 20:35:00,8.109,20.859,16.96,12.38
2014-10-05 20:40:00,8.221,20.997,16.97,12.36
2014-10-05 20:45:00,8.109,20.061,16.96,12.31
2014-10-05 20:50:00,7.969,19.724,16.96,12.32
2014-10-05 20:55:00,7.969,19.279,16.96,12.31
2014-10-05 21:00:00,7.997,19.156,16.95,12.29
2014-10-05 21:05:00,7.927,19.172,16.96,12.28
2014-10-05 21:10:00,7.857,19.064,16.95,12.24
2014-10-05 21:15:00,7.871,19.724,16.95,12.2
2014-10-05 21:20:00,7.773,20.629,16.95,12.15
2014-10-05 21:25:00,7.717,21.488,16.96,12.11
2014-10-05 21:30:00,7.717,22.285,16.94,12.03
2014-10-05 21:35:00,7.703,22.807,16.94,11.97
2014-10-05 21:40:00,7.703,23.236,16.94,11.93
2014-10-05 21:45:00,7.549,23.543,16.93,11.85
2014-10-05 21:50:00,7.577,23.42,16.93,11.81
2014-10-05 21:55:00,7.535,23.267,16.93,11.77
2014-10-05 22:00:00,7.465,23.512,16.92,11.72
2014-10-05 22:05:00,7.465,23.62,16.92,11.69
2014-10-05 22:10:00,7.409,23.221,16.91,11.65
2014-10-05 22:15:00,7.423,23.236,16.91,11.62
2014-10-05 22:20:00,7.339,23.359,16.92,11.6
2014-10-05 22:25:00,7.297,23.451,16.92,11.58
2014-10-05 22:30:00,7.283,22.975,16.9,11.53
2014-10-05 22:35:00,7.353,22.837,16.9,11.51
2014-10-05 22:40:00,7.255,23.175,16.89,11.48
2014-10-05 22:45:00,7.185,23.42,16.9,11.44
2014-10-05 22:50:00,7.185,23.865,16.89,11.4
2014-10-05 22:55:00,7.087,24.463,16.88,11.34
2014-10-05 23:00:00,7.003,24.049,16.87,11.32
2014-10-05 23:05:00,6.989,23.451,16.87,11.3
2014-10-05 23:10:00,6.933,23.252,16.87,11.29
2014-10-05 23:15:00,6.835,22.914,16.86,11.28
2014-10-05 23:20:00,6.821,23.313,16.85,11.25
2014-10-05 23:25:00,6.807,23.083,16.85,11.23
2014-10-05 23:30:00,6.751,23.451,16.84,11.2
2014-10-05 23:35:00,6.765,22.469,16.84,11.19
2014-10-05 23:40:00,6.709,21.61,16.82,11.19
2014-10-05 23:45:00,6.723,21.273,16.82,11.2
2014-10-05 23:50:00,6.695,21.242,16.83,11.2
2014-10-05 23:55:00,6.555,21.81,16.81,11.18
2014-10-06 00:00:00,6.569,21.304,16.8,11.16
2014-10-06 00:05:00,6.513,21.104,16.8,11.16
2014-10-06 00:10:00,6.457,21.181,16.79,11.15
2014-10-06 00:15:00,6.527,20.399,16.78,11.16
2014-10-06 00:20:00,6.457,20.092,16.77,11.16
2014-10-06 00:25:00,6.485,19.555,16.78,11.19
2014-10-06 00:30:00,6.499,19.248,16.77,11.2
2014-10-06 00:35:00,6.555,17.592,16.76,11.23
2014-10-06 00:40:00,6.527,17.362,16.76,11.26
2014-10-06 00:45:00,6.471,16.595,16.75,11.29
2014-10-06 00:50:00,6.485,16.503,16.73,11.29
2014-10-06 00:55:00,6.457,16.871,16.73,11.31
2014-10-06 01:00:00,6.485,16.35,16.73,11.32
2014-10-06 01:05:00,6.499,16.074,16.73,11.34
2014-10-06 01:10:00,6.457,16.549,16.72,11.36
2014-10-06 01:15:00,6.513,16.227,16.69,11.33
2014-10-06 01:20:00,6.513,16.58,16.71,11.35
2014-10-06 01:25:00,6.471,17.607,16.7,11.32
2014-10-06 01:30:00,6.555,17.546,16.7,11.31
2014-10-06 01:35:00,6.653,17.408,16.67,11.28
2014-10-06 01:40:00,6.625,18.206,16.66,11.26
2014-10-06 01:45:00,6.639,18.62,16.67,11.23
2014-10-06 01:50:00,6.611,19.571,16.66,11.19
2014-10-06 01:55:00,6.541,20.015,16.66,11.16
2014-10-06 02:00:00,6.513,19.172,16.65,11.17
2014-10-06 02:05:00,6.429,18.436,16.63,11.16
2014-10-06 02:10:00,6.513,18.067,16.62,11.16
2014-10-06 02:15:00,6.569,18.16,16.63,11.17
2014-10-06 02:20:00,6.527,18.19,16.61,11.15
2014-10-06 02:25:00,6.513,18.113,16.59,11.14
2014-10-06 02:30:00,6.555,17.408,16.61,11.17
2014-10-06 02:35:00,6.583,16.549,16.6,11.19
2014-10-06 02:40:00,6.611,16.12,16.61,11.23
2014-10-06 02:45:00,6.611,16.549,16.6,11.22
2014-10-06 02:50:00,6.681,17.285,16.58,11.19
2014-10-06 02:55:00,6.667,17.592,16.57,11.16
2014-10-06 03:00:00,6.639,17.301,16.56,11.14
2014-10-06 03:05:00,6.653,16.702,16.55,11.14
2014-10-06 03:10:00,6.625,15.859,16.56,11.19
2014-10-06 03:15:00,6.611,14.678,16.54,11.22
2014-10-06 03:20:00,6.639,13.252,16.52,11.25
2014-10-06 03:25:00,6.723,12.117,16.52,11.31
2014-10-06 03:30:00,6.639,11.028,16.52,11.38
2014-10-06 03:35:00,6.667,10.506,16.52,11.44
2014-10-06 03:40:00,6.667,10.66,16.53,11.5
2014-10-06 03:45:00,6.653,10.199,16.53,11.54
2014-10-06 03:50:00,6.681,9.709,16.5,11.56
2014-10-06 03:55:00,6.639,9.187,16.5,11.61
2014-10-06 04:00:00,6.653,9.018,16.5,11.65
2014-10-06 04:05:00,6.709,9.08,16.5,11.68
2014-10-06 04:10:00,6.765,8.819,16.48,11.69
2014-10-06 04:15:00,6.709,9.202,16.46,11.71
2014-10-06 04:20:00,6.737,8.834,16.46,11.73
2014-10-06 04:25:00,6.765,8.497,16.46,11.77
2014-10-06 04:30:00,6.779,8.298,16.46,11.8
2014-10-06 04:35:00,6.821,7.776,16.45,11.83
2014-10-06 04:40:00,6.779,7.531,16.44,11.87
2014-10-06 04:45:00,6.849,6.825,16.44,11.92
2014-10-06 04:50:00,6.863,6.534,16.43,11.96
2014-10-06 04:55:00,6.905,6.028,16.43,12.02
2014-10-06 05:00:00,8.179,6.212,16.45,12.03
2014-10-06 05:05:00,7.801,6.104,16.44,12.04
2014-10-06 05:10:00,7.885,5.475,16.44,12.08
2014-10-06 05:15:00,8.039,5.368,16.44,12.11
2014-10-06 05:20:00,8.095,5.261,16.45,12.15
2014-10-06 05:25:00,7.773,5.123,16.43,12.17
2014-10-06 05:30:00,7.689,5.322,16.41,12.17
2014-10-06 05:35:00,7.661,5.491,16.41,12.2
2014-10-06 05:40:00,7.633,5.184,16.42,12.25
2014-10-06 05:45:00,7.563,5.015,16.42,12.27
2014-10-06 05:50:00,7.563,4.954,16.39,12.27
2014-10-06 05:55:00,7.535,4.647,16.38,12.3
2014-10-06 06:00:00,7.577,5.445,16.39,12.32
2014-10-06 06:05:00,7.661,6.304,16.39,12.33
2014-10-06 06:10:00,7.717,4.985,16.39,12.35
2014-10-06 06:15:00,7.787,4.985,16.39,12.37
2014-10-06 06:20:00,7.815,4.908,16.4,12.4
2014-10-06 06:25:00,7.773,5.169,16.39,12.4
2014-10-06 06:30:00,7.843,5.475,16.38,12.4
2014-10-06 06:35:00,8.445,5.399,16.39,12.4
2014-10-06 06:40:00,10.21,5.475,16.43,12.4
2014-10-06 06:45:00,9.734,5.245,16.44,12.43
2014-10-06 06:50:00,9.412,5.215,16.44,12.44
2014-10-06 06:55:00,9.342,5.123,16.44,12.45
2014-10-06 07:00:00,9.398,4.816,16.45,12.47
2014-10-06 07:05:00,9.118,4.34,16.44,12.51
2014-10-06 07:10:00,8.908,4.08,16.44,12.54
2014-10-06 07:15:00,8.81,3.067,16.42,12.59
2014-10-06 07:20:00,8.824,2.991,16.41,12.63
2014-10-06 07:25:00,8.81,2.883,16.41,12.66
2014-10-06 07:30:00,8.908,3.313,16.42,12.69
2014-10-06 07:35:00,9.02,3.359,16.41,12.69
2014-10-06 07:40:00,9.048,2.669,16.4,12.72
2014-10-06 07:45:00,9.16,1.963,16.41,12.77
2014-10-06 07:50:00,9.286,1.442,16.43,12.84
2014-10-06 07:55:00,9.286,0.874,16.42,12.89
2014-10-06 08:00:00,9.538,0.798,16.42,12.93
2014-10-06 08:05:00,9.986,0.905,16.43,12.95
2014-10-06 08:10:00,9.944,0.276,16.45,13
2014-10-06 08:15:00,9.93,-0.291,16.45,13.06
2014-10-06 08:20:00,10.098,-0.936,16.46,13.12
2014-10-06 08:25:00,10.756,-1.641,16.47,13.18
2014-10-06 08:30:00,10.7,-0.598,16.49,13.2
2014-10-06 08:35:00,10.784,0.199,16.5,13.18
2014-10-06 08:40:00,10.826,0.567,16.51,13.19
2014-10-06 08:45:00,11.807,1.426,16.54,13.14
2014-10-06 08:50:00,12.787,0.629,16.58,13.1
2014-10-06 08:55:00,13.501,-0.491,16.62,13.16
2014-10-06 09:00:00,13.992,-0.859,16.66,13.23
2014-10-06 09:05:00,14.58,-0.675,16.7,13.29
2014-10-06 09:10:00,14.916,-0.475,16.74,13.34
2014-10-06 09:15:00,15.266,-0.767,16.77,13.37
2014-10-06 09:20:00,15.406,-1.074,16.8,13.42
2014-10-06 09:25:00,15.84,-0.644,16.84,13.44
2014-10-06 09:30:00,15.658,1.089,16.86,13.42
2014-10-06 09:35:00,16.064,2.27,16.89,13.38
2014-10-06 09:40:00,17.311,2.347,16.95,13.35
2014-10-06 09:45:00,17.871,1.626,17,13.36
2014-10-06 09:50:00,18.571,2.224,17.05,13.39
2014-10-06 09:55:00,18.768,0.966,17.1,13.41
2014-10-06 10:00:00,19.342,-0.368,17.15,13.48
2014-10-06 10:05:00,19.72,-3.451,17.19,13.57
2014-10-06 10:10:00,20.28,-3.482,17.24,13.68
2014-10-06 10:15:00,20.476,0.414,17.28,13.69
2014-10-06 10:20:00,21.821,-0.583,17.37,13.71
2014-10-06 10:25:00,22.801,-3.16,17.44,13.75
2014-10-06 10:30:00,23.669,-3.037,17.51,13.84
2014-10-06 10:35:00,23.992,2.853,17.59,13.85
2014-10-06 10:40:00,23.641,5.445,17.63,13.7
2014-10-06 10:45:00,23.81,4.049,17.66,13.61
2014-10-06 10:50:00,25.056,4.448,17.74,13.6
2014-10-06 10:55:00,24.79,8.16,17.8,13.55
2014-10-06 11:00:00,24.51,9.294,17.84,13.54
2014-10-06 11:05:00,24.482,7.362,17.87,13.49
2014-10-06 11:10:00,24.622,8.328,17.9,13.42
2014-10-06 11:15:00,25.378,9.218,17.96,13.31
2014-10-06 11:20:00,24.552,10.644,17.98,13.28
2014-10-06 11:25:00,23.347,10.138,17.97,13.24
2014-10-06 11:30:00,22.997,5.966,17.99,13.29
2014-10-06 11:35:00,23.165,9.402,18,13.24
2014-10-06 11:40:00,22.773,7.546,18.01,13.26
2014-10-06 11:45:00,22.605,7.73,18.03,13.27
2014-10-06 11:50:00,22.577,6.028,18.04,13.22
2014-10-06 11:55:00,22.437,7.147,18.05,13.33
2014-10-06 12:00:00,22.871,14.141,18.06,13.2
2014-10-06 12:05:00,23.347,12.899,18.12,13.17
2014-10-06 12:10:00,23.571,10.844,18.16,13.13
2014-10-06 12:15:00,24.286,14.463,18.21,12.92
2014-10-06 12:20:00,24.034,17.393,18.23,12.75
2014-10-06 12:25:00,24.188,16.181,18.26,12.75
2014-10-06 12:30:00,24.244,12.347,18.29,12.88
2014-10-06 12:35:00,24.216,9.264,18.31,12.93
2014-10-06 12:40:00,24.3,8.604,18.34,13.02
2014-10-06 12:45:00,24.552,6.564,18.37,13.04
2014-10-06 12:50:00,24.51,6.043,18.4,13.09
2014-10-06 12:55:00,24.86,4.095,18.43,13.19
2014-10-06 13:00:00,24.594,8.313,18.45,13.12
2014-10-06 13:05:00,24.65,8.528,18.48,13.09
2014-10-06 13:10:00,24.58,10.414,18.51,13.05
2014-10-06 13:15:00,24.482,9.11,18.52,13.03
2014-10-06 13:20:00,24.58,10.23,18.54,13.02
2014-10-06 13:25:00,24.412,12.485,18.57,12.95
2014-10-06 13:30:00,24.314,8.543,18.58,12.99
2014-10-06 13:35:00,24.314,6.334,18.61,13.1
2014-10-06 13:40:00,24.37,11.702,18.63,13
2014-10-06 13:45:00,24.622,12.301,18.65,12.93
2014-10-06 13:50:00,24.664,10.859,18.68,12.92
2014-10-06 13:55:00,24.916,8.067,18.72,13.02
2014-10-06 14:00:00,24.79,7.945,18.72,13.04
2014-10-06 14:05:00,24.804,4.571,18.76,13.14
2014-10-06 14:10:00,24.37,6.856,18.78,13.2
2014-10-06 14:15:00,24.51,3.344,18.78,13.26
2014-10-06 14:20:00,24.818,5.276,18.82,13.33
2014-10-06 14:25:00,25,7.592,18.85,13.32
2014-10-06 14:30:00,25.21,9.939,18.88,13.2
2014-10-06 14:35:00,25.07,9.402,18.89,13.19
2014-10-06 14:40:00,24.93,8.589,18.91,13.21
2014-10-06 14:45:00,24.706,10.399,18.93,13.19
2014-10-06 14:50:00,24.202,7.837,18.92,13.18
2014-10-06 14:55:00,24.062,11.396,18.94,13.12
2014-10-06 15:00:00,23.95,6.38,18.95,13.23
2014-10-06 15:05:00,23.725,4.31,18.95,13.36
2014-10-06 15:10:00,23.501,8.037,18.97,13.34
2014-10-06 15:15:00,23.571,7.546,18.98,13.31
2014-10-06 15:20:00,23.445,9.632,18.99,13.28
2014-10-06 15:25:00,23.193,10.92,18.98,13.21
2014-10-06 15:30:00,23.123,9.08,18.98,13.2
2014-10-06 15:35:00,22.969,8.727,19.01,13.25
2014-10-06 15:40:00,22.829,9.08,19.01,13.25
2014-10-06 15:45:00,22.759,9.187,19.03,13.24
2014-10-06 15:50:00,22.703,7.132,19.02,13.29
2014-10-06 15:55:00,22.507,6.979,19.02,13.32
2014-10-06 16:00:00,22.549,9.954,19.05,13.26
2014-10-06 16:05:00,23.151,7.669,19.06,13.29
2014-10-06 16:10:00,23.305,5.874,19.1,13.37
2014-10-06 16:15:00,23.683,5.322,19.12,13.43
2014-10-06 16:20:00,23.221,6.365,19.12,13.45
2014-10-06 16:25:00,22.955,9.248,19.13,13.37
2014-10-06 16:30:00,23.179,9.08,19.16,13.35
2014-10-06 16:35:00,22.717,8.865,19.15,13.34
2014-10-06 16:40:00,23.838,11.656,19.18,13.26
2014-10-06 16:45:00,23.333,11.58,19.21,13.22
2014-10-06 16:50:00,22.899,9.479,19.21,13.23
2014-10-06 16:55:00,23.067,9.433,19.23,13.26
2014-10-06 17:00:00,23.109,8.466,19.24,13.26
2014-10-06 17:05:00,22.815,8.727,19.24,13.28
2014-10-06 17:10:00,22.997,8.589,19.26,13.27
2014-10-06 17:15:00,22.381,8.85,19.24,13.26
2014-10-06 17:20:00,22.157,9.003,19.25,13.27
2014-10-06 17:25:00,22.129,10.429,19.26,13.21
2014-10-06 17:30:00,21.905,9.877,19.26,13.21
2014-10-06 17:35:00,22.423,9.417,19.29,13.23
2014-10-06 17:40:00,22.017,10.782,19.29,13.21
2014-10-06 17:45:00,21.429,11.012,19.28,13.2
2014-10-06 17:50:00,21.849,11.181,19.3,13.19
2014-10-06 17:55:00,21.19,12.96,19.29,13.15
2014-10-06 18:00:00,20.644,12.807,19.28,13.11
2014-10-06 18:05:00,20.364,13.528,19.26,13.08
2014-10-06 18:10:00,19.09,15.721,19.22,13.01
2014-10-06 18:15:00,18.768,16.196,19.19,12.93
2014-10-06 18:20:00,19.496,15.736,19.22,12.92
2014-10-06 18:25:00,18.95,14.601,19.21,12.91
2014-10-06 18:30:00,18.852,11.457,19.19,12.95
2014-10-06 18:35:00,18.501,8.374,19.19,13.06
2014-10-06 18:40:00,18.207,11.104,19.16,13.08
2014-10-06 18:45:00,18.375,15.966,19.17,12.97
2014-10-06 18:50:00,17.115,15.169,19.13,12.92
2014-10-06 18:55:00,17.143,13.037,19.13,12.94
2014-10-06 19:00:00,16.793,11.334,19.11,12.97
2014-10-06 19:05:00,16.919,11.779,19.11,12.99
2014-10-06 19:10:00,16.877,15.015,19.1,12.91
2014-10-06 19:15:00,16.821,16.933,19.08,12.82
2014-10-06 19:20:00,16.246,17.193,19.07,12.78
2014-10-06 19:25:00,16.148,16.58,19.05,12.76
2014-10-06 19:30:00,15.812,16.426,19.04,12.73
2014-10-06 19:35:00,16.204,16.043,19.03,12.72
2014-10-06 19:40:00,15.98,15.061,19.03,12.74
2014-10-06 19:45:00,15.322,13.298,19,12.77
2014-10-06 19:50:00,15.084,12.132,18.98,12.81
2014-10-06 19:55:00,16.176,10.061,19,12.87
2014-10-06 20:00:00,14.93,8.972,18.98,12.94
2014-10-06 20:05:00,13.557,8.267,18.92,12.97
2014-10-06 20:10:00,13.039,8.742,18.88,12.99
2014-10-06 20:15:00,12.885,9.601,18.85,13
2014-10-06 20:20:00,12.465,10.598,18.83,13
2014-10-06 20:25:00,12.241,12.761,18.8,12.96
2014-10-06 20:30:00,12.101,14.525,18.78,12.9
2014-10-06 20:35:00,11.877,14.801,18.75,12.85
2014-10-06 20:40:00,11.765,13.39,18.73,12.87
2014-10-06 20:45:00,11.709,12.975,18.71,12.87
2014-10-06 20:50:00,11.415,12.546,18.7,12.89
2014-10-06 20:55:00,11.317,11.564,18.67,12.9
2014-10-06 21:00:00,11.12,11.794,18.65,12.92
2014-10-06 21:05:00,11.036,13.16,18.63,12.88
2014-10-06 21:10:00,10.854,13.298,18.61,12.87
2014-10-06 21:15:00,10.812,13.727,18.6,12.85
2014-10-06 21:20:00,10.756,14.801,18.58,12.81
2014-10-06 21:25:00,10.588,16.242,18.54,12.73
2014-10-06 21:30:00,10.518,17.178,18.53,12.67
2014-10-06 21:35:00,10.42,17.546,18.5,12.62
2014-10-06 21:40:00,10.322,17.577,18.48,12.58
2014-10-06 21:45:00,10.21,17.331,18.48,12.56
2014-10-06 21:50:00,10.126,16.61,18.46,12.56
2014-10-06 21:55:00,9.972,15.353,18.43,12.57
2014-10-06 22:00:00,9.958,13.39,18.43,12.62
2014-10-06 22:05:00,9.846,12.301,18.41,12.65
2014-10-06 22:10:00,9.818,10.936,18.39,12.71
2014-10-06 22:15:00,9.664,10.475,18.37,12.74
2014-10-06 22:20:00,9.608,10.583,18.36,12.79
2014-10-06 22:25:00,9.552,11.012,18.35,12.78
2014-10-06 22:30:00,9.496,11.166,18.33,12.79
2014-10-06 22:35:00,9.454,10.844,18.32,12.81
2014-10-06 22:40:00,9.342,11.273,18.31,12.82
2014-10-06 22:45:00,9.3,11.365,18.29,12.81
2014-10-06 22:50:00,9.3,11.748,18.28,12.8
2014-10-06 22:55:00,9.23,12.132,18.26,12.78
2014-10-06 23:00:00,9.118,11.856,18.26,12.79
2014-10-06 23:05:00,9.048,12.776,18.24,12.76
2014-10-06 23:10:00,9.02,13.052,18.23,12.74
2014-10-06 23:15:00,8.95,12.362,18.21,12.75
2014-10-06 23:20:00,8.908,12.132,18.2,12.76
2014-10-06 23:25:00,8.88,12.546,18.19,12.76
2014-10-06 23:30:00,8.824,13.957,18.17,12.71
2014-10-06 23:35:00,8.725,13.252,18.16,12.71
2014-10-06 23:40:00,8.697,12.837,18.14,12.7
2014-10-06 23:45:00,8.641,13.558,18.14,12.71
2014-10-06 23:50:00,8.599,15.69,18.12,12.64
2014-10-06 23:55:00,8.543,19.586,18.11,12.52
2014-10-07 00:00:00,8.543,19.156,18.1,12.44
2014-10-07 00:05:00,8.417,13.512,18.08,12.53
2014-10-07 00:10:00,8.431,13.512,18.08,12.58
2014-10-07 00:15:00,8.361,14.095,18.06,12.58
2014-10-07 00:20:00,8.319,11.902,18.05,12.62
2014-10-07 00:25:00,8.277,12.807,18.03,12.63
2014-10-07 00:30:00,8.235,14.433,18.03,12.59
2014-10-07 00:35:00,8.151,14.402,18.01,12.58
2014-10-07 00:40:00,8.165,11.81,18,12.61
2014-10-07 00:45:00,8.193,12.684,17.99,12.63
2014-10-07 00:50:00,8.095,12.377,17.98,12.63
2014-10-07 00:55:00,8.109,13.865,17.96,12.61
2014-10-07 01:00:00,8.053,16.457,17.96,12.55
2014-10-07 01:05:00,8.039,21.242,17.94,12.39
2014-10-07 01:10:00,7.955,22.776,17.93,12.25
2014-10-07 01:15:00,7.927,23.466,17.92,12.16
2014-10-07 01:20:00,7.773,23.604,17.9,12.08
2014-10-07 01:25:00,7.787,23.528,17.89,12.02
2014-10-07 01:30:00,7.773,23.221,17.88,11.99
2014-10-07 01:35:00,7.773,22.868,17.86,11.95
2014-10-07 01:40:00,7.619,22.883,17.85,11.92
2014-10-07 01:45:00,7.591,23.129,17.83,11.87
2014-10-07 01:50:00,7.563,23.052,17.82,11.84
2014-10-07 01:55:00,7.549,23.267,17.81,11.8
2014-10-07 02:00:00,7.437,23.252,17.8,11.77
2014-10-07 02:05:00,7.465,23.589,17.79,11.73
2014-10-07 02:10:00,7.493,23.773,17.78,11.7
2014-10-07 02:15:00,7.381,23.221,17.76,11.66
2014-10-07 02:20:00,7.297,23.144,17.75,11.66
2014-10-07 02:25:00,7.255,21.442,17.74,11.67
2014-10-07 02:30:00,7.241,21.212,17.72,11.67
2014-10-07 02:35:00,7.241,20.399,17.72,11.69
2014-10-07 02:40:00,7.143,19.54,17.7,11.71
2014-10-07 02:45:00,7.143,18.098,17.69,11.75
2014-10-07 02:50:00,7.129,15.89,17.69,11.83
2014-10-07 02:55:00,7.157,14.678,17.67,11.9
2014-10-07 03:00:00,7.171,14.494,17.65,11.94
2014-10-07 03:05:00,7.213,13.972,17.66,11.99
2014-10-07 03:10:00,7.143,13.988,17.64,12
2014-10-07 03:15:00,7.115,13.16,17.62,12.03
2014-10-07 03:20:00,7.087,12.025,17.62,12.1
2014-10-07 03:25:00,7.199,16.12,17.62,12.11
2014-10-07 03:30:00,7.115,13.957,17.6,12.08
2014-10-07 03:35:00,7.087,15.859,17.59,12.05
2014-10-07 03:40:00,7.059,21.38,17.58,11.9
2014-10-07 03:45:00,7.003,20.798,17.57,11.79
2014-10-07 03:50:00,7.017,18.742,17.56,11.75
2014-10-07 03:55:00,6.933,20.092,17.54,11.69
2014-10-07 04:00:00,6.919,19.985,17.54,11.68
2014-10-07 04:05:00,6.919,21.641,17.52,11.64
2014-10-07 04:10:00,6.863,20.368,17.51,11.66
2014-10-07 04:15:00,6.891,21.917,17.5,11.63
2014-10-07 04:20:00,6.807,21.304,17.49,11.61
2014-10-07 04:25:00,6.765,24.877,17.47,11.55
2014-10-07 04:30:00,6.751,21.212,17.46,11.56
